product_code,sku,status
0001.2502,47648316,✅
0001.2504,47648349,✅
0001.2507,47648385,✅
0001.2508,20864381,✅
0001.2509,47648409,✅
0001.2510,38522067,✅
0001.2512,36169050,✅
0001.2515,20162069,✅
0001.2516,39897012,✅
0031.1081,20873651,✅
0031.2308,20897603,✅
0034.1519,56692800,✅
0034.2526,51785457,✅
0034.3126,43456419,✅
0034.6007,20864780,✅
0034.6019,54268377,✅
0034.6613,40493052,✅
010004-KIT,45155603,✅
010014-KIT,45155672,✅
0100370,39996750,✅
013-6,46953777,✅
01530007Z,41582832,✅
0211345121,48954039,✅
0215005.HXP,19605440,✅
0215005.MXP,31957979,✅
0215010.HXP,19113344,✅
0215020.MXP,20865044,✅
0217002.HXP,20865116,✅
02173.15HXP,20606882,✅
0218.125HXP,35915490,✅
0218001.HXP,20866406,✅
0218005.TXP,20866475,✅
0.5W-13V,36874416,❌
0.5W-6V8,19670291,❌
00.08095.200030,54485979,❌
00.08141.600000,54486036,❌
00.14575.400000,54486555,❌
00.14966.748000,54486333,❌
00.15184.540020,54483681,❌
00.95800.010000,54486234,❌
0001.2514.PT,34349061,❌
0104110000002617,39930741,❌
0104110000002679,41423529,❌
0104110000082732,46425242,❌
0104110000087669,46425341,❌
0104210000004847,41517003,❌
0116.9-00,34358340,❌
02-554/DIG,50695617,❌
0215005.XHP,32628449,❌
02183.15TXP,20693051,❌
02200007DRT1P,51501546,❌
023-6,65355162,❌
0230002.DRT1P,55829430,❌
0234002.MXP,51048888,✅
0234008.MXP,20866565,✅
023403.5MXP,20866727,✅
0239.400MXP,20866826,❌
0242.080UAT1,37320963,✅
0287001.PXCN,54357033,✅
0287005.PXCN,35085687,✅
0287010.PXCN,53715273,✅
0287015.PXCN,51912390,✅
0297002.WXNV,56292489,✅
0297005.WXNV,20866949,✅
0297015.WXNV,38026947,✅
029707.5WXNV,20867075,✅
0300360,38027172,✅
0312.250HXP,20639237,✅
0312.600HXP,20867294,✅
0312004.HXP,54765078,✅
0312005.HXP,36170793,✅
0312008.HXP,23537789,✅
0312010.HXP,23537876,✅
031202.5HXP,44900507,✅
0314005.HXP,20867363,✅
0314010.HXP,44900372,✅
0314012.HXP,20867582,✅
0314025.HXP,44900648,✅
0314030.HXP,44901092,✅
0324020.MXP,20867657,❌
03632500,52836423,❌
04025C103KAT2A,65358144,✅
04025C222KAT2A,66418926,✅
04026D105KAT2A,66419574,✅
04026D475MAT2A,39847548,✅
0402B104K500CT,66419007,✅
0402DF-271XJRU,66428253,❌
0440001.WR,32389571,✅
0443.500DR,43420962,✅
0454007.MR,20867753,✅
0465002.DR,20867828,✅
0473002.mrt1l,40645626,✅
0479480001,34258419,❌
047T008E503,20676689,❌
05-20-A-0050-A,68008119,✅
05-20-A-0101-A,39048075,✅
05-20-A-0127-A,30056852,✅
05059041001,36287706,❌
0521-S,30708362,✅
05306,55817307,❌
,38405334,❌
